crop,disease,severity,treatment_cost_usd,temperature,humidity,rainfall_last_week_mm,leaf_color_r,leaf_color_g,leaf_color_b,leaf_texture_variance,spot_density,affected_area_pct,detection_confidence,image_id,detected_date
Apple,Anthracnose,3,160,33.22,62.49,49.35,167,66,20,0.394,0.394,9.74,0.735,img_00000.jpg,2025-03-30
Corn,Root_Rot,4,220,31.56,67.32,54.36,152,85,58,0.566,0.679,52.6,0.843,img_00001.jpg,2025-03-24
Grape,Root_Rot,4,220,17.0,65.13,3.63,70,89,36,0.588,0.267,6.93,0.941,img_00002.jpg,2025-12-07
Wheat,Healthy,0,0,16.74,67.97,0.73,151,126,90,0.304,0.0,0.0,0.857,img_00003.jpg,2025-04-02
Pepper,Bacterial_Spot,3,180,20.31,79.27,15.88,99,71,72,0.537,0.597,52.47,0.957,img_00004.jpg,2025-05-02
Tomato,Leaf_Blight,3,150,33.07,86.75,83.14,67,145,34,0.212,0.47,42.95,0.71,img_00005.jpg,2026-02-14
Wheat,Mosaic_Virus,5,250,40.63,91.33,33.82,103,102,65,0.72,0.149,37.01,0.776,img_00006.jpg,2025-12-10
Pepper,Mosaic_Virus,5,250,13.54,89.47,41.92,198,62,63,0.774,0.686,76.39,0.891,img_00007.jpg,2025-12-15
Pepper,Powdery_Mildew,2,100,29.72,93.13,16.98,143,71,85,0.179,0.661,41.34,0.773,img_00008.jpg,2026-01-25
Corn,Rust,4,200,29.18,85.41,2.19,162,85,22,0.355,0.625,19.11,0.979,img_00009.jpg,2025-12-07
Tomato,Healthy,0,0,26.63,44.32,13.1,140,187,58,0.542,0.0,0.0,0.98,img_00010.jpg,2025-03-26
Rice,Anthracnose,3,160,27.33,62.88,61.86,166,80,25,0.56,0.341,45.0,0.919,img_00011.jpg,2025-05-09
Pepper,Mosaic_Virus,5,250,26.89,62.32,51.6,127,80,42,0.593,0.521,66.52,0.861,img_00012.jpg,2025-12-16
Wheat,Bacterial_Spot,3,180,21.26,61.7,105.63,55,78,24,0.285,0.198,63.01,0.935,img_00013.jpg,2025-05-11
Potato,Anthracnose,3,160,17.9,81.97,42.26,188,109,95,0.72,0.425,44.19,0.827,img_00014.jpg,2025-12-07
Apple,Fusarium_Wilt,5,280,14.01,90.66,39.57,74,122,68,0.598,0.505,44.83,0.807,img_00015.jpg,2026-01-05
Apple,Bacterial_Spot,3,180,8.52,79.53,33.32,198,108,32,0.55,0.789,59.25,0.737,img_00016.jpg,2025-11-16
Apple,Healthy,0,0,14.12,58.87,10.64,184,129,40,0.835,0.0,0.0,0.811,img_00017.jpg,2025-03-10
Tomato,Downy_Mildew,2,120,42.16,78.74,0.48,74,68,51,0.668,0.385,10.16,0.928,img_00018.jpg,2025-02-23
Grape,Powdery_Mildew,2,100,31.52,72.63,11.7,160,124,76,0.19,0.314,24.9,0.937,img_00019.jpg,2026-02-11
Tomato,Root_Rot,4,220,23.09,91.8,5.45,59,123,54,0.337,0.528,7.45,0.922,img_00020.jpg,2025-09-25
Tomato,Downy_Mildew,2,120,13.85,65.0,33.59,69,75,83,0.669,0.575,11.32,0.841,img_00021.jpg,2025-11-23
Rice,Powdery_Mildew,2,100,19.7,74.88,0.06,101,91,85,0.346,0.225,59.75,0.759,img_00022.jpg,2026-02-13
Apple,Root_Rot,4,220,24.95,84.81,17.13,178,72,96,0.179,0.458,17.84,0.721,img_00023.jpg,2025-09-19
Rice,Anthracnose,3,160,33.56,67.83,18.75,139,52,74,0.417,0.31,19.56,0.947,img_00024.jpg,2025-07-04
Apple,Root_Rot,4,220,19.84,78.32,6.84,152,99,56,0.212,0.629,30.18,0.887,img_00025.jpg,2026-01-29
Tomato,Fusarium_Wilt,5,280,40.6,60.73,80.26,113,129,47,0.895,0.151,70.59,0.746,img_00026.jpg,2025-10-11
Apple,Leaf_Blight,3,150,31.43,89.63,45.28,160,114,23,0.538,0.583,33.86,0.742,img_00027.jpg,2025-07-11
Rice,Root_Rot,4,220,19.35,93.79,30.02,161,104,27,0.368,0.473,9.16,0.794,img_00028.jpg,2025-11-07
Potato,Healthy,0,0,31.68,69.05,36.35,182,166,98,0.82,0.0,0.0,0.782,img_00029.jpg,2025-08-04
Apple,Mosaic_Virus,5,250,19.7,73.53,47.93,81,97,75,0.726,0.424,53.77,0.935,img_00030.jpg,2025-07-14
Wheat,Powdery_Mildew,2,100,29.4,75.07,15.09,175,76,81,0.542,0.305,38.96,0.813,img_00031.jpg,2025-06-01
Pepper,Downy_Mildew,2,120,31.23,63.48,0.13,150,80,82,0.194,0.154,27.38,0.758,img_00032.jpg,2025-05-24
Pepper,Downy_Mildew,2,120,28.35,90.4,163.47,148,107,21,0.317,0.258,59.91,0.874,img_00033.jpg,2025-08-08
Grape,Mosaic_Virus,5,250,35.27,75.95,1.07,52,143,51,0.261,0.285,54.55,0.924,img_00034.jpg,2025-02-28
Wheat,Fusarium_Wilt,5,280,22.53,85.9,13.38,123,125,41,0.468,0.113,35.48,0.784,img_00035.jpg,2026-01-13
Grape,Rust,4,200,26.42,76.32,0.82,132,48,35,0.392,0.163,32.16,0.837,img_00036.jpg,2025-03-19
Grape,Healthy,0,0,17.22,58.56,25.76,123,175,52,0.208,0.0,0.0,0.794,img_00037.jpg,2025-03-25
Corn,Powdery_Mildew,2,100,29.37,71.11,18.49,74,126,95,0.435,0.755,61.69,0.834,img_00038.jpg,2025-04-23
Potato,Healthy,0,0,23.21,73.39,71.42,74,105,27,0.528,0.0,0.0,0.803,img_00039.jpg,2025-12-31
Grape,Rust,4,200,8.86,84.2,31.13,190,40,65,0.734,0.141,45.31,0.742,img_00040.jpg,2026-02-15
Pepper,Bacterial_Spot,3,180,19.21,66.37,30.12,175,90,21,0.847,0.297,41.99,0.989,img_00041.jpg,2025-04-24
Pepper,Bacterial_Spot,3,180,34.98,88.23,5.02,113,41,47,0.428,0.328,45.98,0.801,img_00042.jpg,2026-01-10
Tomato,Fusarium_Wilt,5,280,12.78,89.57,3.44,68,127,55,0.425,0.733,57.38,0.794,img_00043.jpg,2025-11-02
Tomato,Downy_Mildew,2,120,20.26,75.24,7.07,199,64,43,0.368,0.554,39.33,0.779,img_00044.jpg,2025-11-05
Potato,Mosaic_Virus,5,250,6.77,91.09,45.95,146,108,92,0.399,0.702,51.81,0.881,img_00045.jpg,2025-10-11
Apple,Downy_Mildew,2,120,21.52,93.97,7.2,60,112,46,0.187,0.219,23.17,0.769,img_00046.jpg,2025-10-17
Corn,Downy_Mildew,2,120,17.19,94.2,37.69,74,145,44,0.713,0.509,61.22,0.95,img_00047.jpg,2025-05-04
Rice,Bacterial_Spot,3,180,29.67,83.96,23.76,190,82,40,0.539,0.326,29.21,0.889,img_00048.jpg,2026-01-13
