date,commodity,market,grade,price_per_quintal,volume_quintals,total_value,price_change_pct
2025-05-03,Rice,Chennai,A,4640.72,202.53,939891.74,-1.57
2026-01-23,Rice,Delhi,C,3382.65,187.14,633028.41,2.21
2025-12-15,Wheat,Delhi,C,1670.52,46.21,77197.27,0.3
2025-07-02,Cotton,Kolkata,B,5916.69,218.1,1290423.77,3.88
2025-02-26,Onion,Delhi,B,2347.32,897.45,2106596.15,2.62
2025-03-05,Tomato,Bangalore,B,2969.54,923.75,2743094.12,1.02
2026-01-01,Cotton,Mumbai,A,6058.01,246.13,1491087.71,3.94
2025-06-08,Wheat,Mumbai,C,2021.84,26.34,53262.33,4.17
2026-01-16,Maize,Chennai,B,1909.6,741.74,1416434.59,-0.41
2025-03-01,Onion,Mumbai,B,2436.42,441.69,1076134.3,-4.03
2025-06-20,Wheat,Bangalore,A,2254.12,897.54,2023168.58,-3.75
2025-06-09,Wheat,Bangalore,A,2444.93,461.29,1127823.13,4.17
2025-06-28,Onion,Hyderabad,B,1956.79,366.74,717633.4,4.67
2025-07-05,Cotton,Hyderabad,A,7013.48,197.42,1384588.95,2.46
2025-07-25,Cotton,Mumbai,B,5268.66,551.28,2904491.56,-3.19
2025-10-02,Maize,Hyderabad,B,1264.67,249.77,315875.56,-3.02
2025-03-09,Tomato,Delhi,A,3574.56,473.55,1692717.56,-4.31
2025-08-06,Rice,Hyderabad,B,2988.89,281.77,842173.79,3.28
2025-03-18,Cotton,Kolkata,B,8000.22,264.79,2118362.82,3.03
2025-07-11,Maize,Delhi,B,1879.92,39.52,74288.67,-3.81
2025-02-27,Maize,Bangalore,B,1965.22,596.7,1172642.64,-3.99
2025-12-05,Maize,Mumbai,C,1537.32,0.14,212.77,1.68
2025-12-22,Onion,Hyderabad,B,2203.82,1035.02,2281004.17,2.74
2026-02-06,Onion,Kolkata,C,1883.83,25.82,48635.31,3.86
2025-10-19,Soybean,Chennai,C,2908.58,20.99,61047.63,0.75
2025-10-01,Sugarcane,Mumbai,C,254.57,99.51,25332.13,0.21
2025-07-09,Sugarcane,Delhi,C,284.27,729.23,207295.29,3.37
2025-11-23,Wheat,Hyderabad,A,2012.52,1538.96,3097199.79,-1.08
2025-06-02,Sugarcane,Kolkata,C,390.22,423.05,165080.32,-3.39
2025-04-21,Onion,Delhi,A,2559.2,207.36,530671.3,2.96
2025-05-10,Cotton,Chennai,A,8318.91,907.98,7553368.28,-4.11
2025-12-03,Tomato,Bangalore,A,2157.78,1217.4,2626873.92,-2.78
2025-07-20,Maize,Hyderabad,B,1623.98,350.08,568514.62,4.5
2025-05-13,Cotton,Bangalore,B,7257.09,192.31,1395606.47,1.43
2025-12-26,Cotton,Kolkata,C,6052.25,11.0,66601.75,-2.96
2026-01-22,Cotton,Chennai,B,6679.46,10.84,72429.9,3.67
2025-09-05,Rice,Chennai,A,3061.48,766.64,2347042.59,2.34
2025-06-13,Maize,Kolkata,C,1782.61,456.64,814007.78,4.94
2026-02-10,Potato,Delhi,C,1323.17,270.65,358110.67,3.3
2025-12-15,Soybean,Hyderabad,C,3754.52,682.68,2563132.18,2.63
2025-12-06,Wheat,Hyderabad,A,1970.22,1275.44,2512887.17,-0.11
2026-02-12,Maize,Bangalore,B,2193.75,1519.2,3332752.99,0.82
2025-05-21,Wheat,Kolkata,C,2335.26,196.47,458812.52,1.61
2025-06-18,Onion,Mumbai,C,1655.83,146.47,242532.79,3.23
2025-10-05,Potato,Chennai,C,1076.01,47.55,51167.19,2.96
