date,crop,pest_type,damage_level,recommended_treatment,temperature_c,humidity_pct,rainfall_last_month_mm,pest_count_per_plant,affected_plants_pct,crop_loss_pct,economic_loss_usd_ha,pest_risk_score,field_id,region
2025-01-18,Fruits,Borers,4,Systemic insecticide,29.88,86.08,92.94,1.3,8.65,1.73,61.73,0.651,FIELD_004,Central
2024-04-09,Vegetables,Caterpillars,4,Bt spray,3.75,88.27,97.93,0.4,13.7,2.74,179.79,0.473,FIELD_091,South
2024-03-07,Wheat,Beetles,3,Manual removal,19.8,84.18,65.18,1.8,54.95,8.24,463.08,0.618,FIELD_036,West
2025-09-12,Rice,Caterpillars,4,Bt spray,29.07,59.83,10.69,1.2,31.05,6.21,407.0,0.484,FIELD_083,West
2025-05-10,Maize,Whiteflies,2,Yellow sticky traps,28.5,46.43,45.91,4.1,31.87,3.19,239.17,0.458,FIELD_026,East
2024-08-02,Rice,Caterpillars,4,Bt spray,19.49,85.13,78.61,0.8,10.72,2.14,153.44,0.532,FIELD_092,Central
2024-11-19,Fruits,None,0,No action needed,34.96,86.56,77.07,0.0,0.0,0.0,0.0,0.794,FIELD_075,East
2024-05-21,Fruits,Whiteflies,2,Yellow sticky traps,29.47,86.84,154.89,0.2,27.29,2.73,136.83,0.778,FIELD_079,North
2025-03-08,Wheat,Caterpillars,4,Bt spray,25.66,68.6,143.97,1.3,36.01,7.2,286.56,0.63,FIELD_075,East
2025-03-08,Cotton,None,0,No action needed,26.5,46.05,43.79,0.0,0.0,0.0,0.0,0.442,FIELD_047,Central
2025-03-03,Vegetables,Aphids,3,Neem oil spray,40.31,68.69,57.35,3.1,32.77,4.92,363.09,0.589,FIELD_090,South
2025-03-03,Rice,Borers,4,Systemic insecticide,21.42,63.35,167.57,3.7,17.26,3.45,144.27,0.701,FIELD_029,South
2024-03-07,Wheat,Caterpillars,4,Bt spray,31.19,65.38,138.51,1.5,36.43,7.29,505.98,0.83,FIELD_001,West
2026-02-15,Cotton,None,0,No action needed,30.63,79.22,162.37,0.0,0.0,0.0,0.0,0.754,FIELD_009,Central
2024-11-30,Vegetables,Thrips,2,Spinosad,35.23,86.51,133.53,1.3,59.56,5.96,367.77,0.833,FIELD_039,West
2024-03-24,Maize,Borers,4,Systemic insecticide,23.77,88.25,181.37,4.5,25.03,5.01,267.45,0.779,FIELD_060,East
2025-08-31,Maize,Whiteflies,2,Yellow sticky traps,38.95,69.64,163.94,0.5,57.15,5.71,226.73,0.765,FIELD_071,South
2025-02-09,Maize,Mites,2,Miticide spray,33.7,82.05,42.64,4.5,37.48,3.75,137.17,0.672,FIELD_006,Central
2024-05-07,Vegetables,Mites,2,Miticide spray,27.79,41.33,52.49,2.5,39.99,4.0,160.61,0.504,FIELD_018,South
2024-11-07,Fruits,Aphids,3,Neem oil spray,41.25,69.8,113.34,1.7,44.49,6.67,355.14,0.764,FIELD_023,East
2025-10-09,Fruits,Beetles,3,Manual removal,19.03,54.13,125.02,2.9,24.77,3.72,129.25,0.528,FIELD_086,East
2024-05-20,Wheat,Whiteflies,2,Yellow sticky traps,29.15,67.4,52.43,18.9,14.94,1.49,60.97,0.66,FIELD_096,North
2025-02-08,Fruits,Beetles,3,Manual removal,16.96,42.78,83.78,9.9,58.92,8.84,466.39,0.511,FIELD_053,South
2024-04-21,Wheat,Thrips,2,Spinosad,22.26,49.92,115.69,1.9,51.98,5.2,374.33,0.514,FIELD_019,West
2024-04-15,Cotton,Mites,2,Miticide spray,35.31,66.26,100.71,1.2,39.41,3.94,237.3,0.687,FIELD_054,Central
2026-01-24,Wheat,Thrips,2,Spinosad,31.01,86.18,44.62,6.1,9.76,0.98,29.43,0.773,FIELD_095,East
2024-07-17,Maize,Mites,2,Miticide spray,22.7,67.52,8.58,7.5,25.49,2.55,81.81,0.414,FIELD_062,North
2025-06-10,Cotton,Caterpillars,4,Bt spray,31.3,52.16,16.63,27.3,57.38,11.48,849.28,0.524,FIELD_035,South
2025-04-30,Rice,Beetles,3,Manual removal,27.72,78.29,8.64,1.0,19.61,2.94,98.28,0.555,FIELD_092,South
2026-01-26,Maize,Mites,2,Miticide spray,26.79,57.34,50.09,0.3,17.09,1.71,94.41,0.633,FIELD_035,South
2025-09-29,Fruits,Mites,2,Miticide spray,27.91,49.07,37.03,2.5,11.0,1.1,85.51,0.559,FIELD_009,East
2025-07-09,Wheat,Thrips,2,Spinosad,22.29,77.4,87.5,3.0,57.16,5.72,267.55,0.729,FIELD_090,South
