timestamp,irrigation_zone,irrigation_type,soil_moisture_pct,soil_temperature_c,soil_ph,soil_ec_ds_m,nitrogen_ppm,phosphorus_ppm,potassium_ppm,air_temperature_c,air_humidity_pct,wind_speed_kmh,solar_radiation_wm2,evapotranspiration_mm,irrigation_needed,recommended_water_mm,actual_water_used_mm
2025-08-12 19:35:04,Zone_C,Drip,54.28,24.91,6.34,3.7,334.79,91.56,104.98,23.35,43.88,9.41,961.46,18.57,False,0.0,0.0
2025-09-04 23:35:04,Zone_C,Center_Pivot,62.72,31.12,5.62,3.49,148.39,15.1,254.48,30.08,75.17,4.93,415.13,9.33,False,0.0,0.0
2025-05-13 03:35:04,Zone_A,Drip,18.2,33.73,5.64,1.09,256.02,17.69,313.52,24.57,60.19,2.45,111.91,2.23,True,20.9,17.66
2025-09-12 07:35:04,Zone_B,Drip,67.93,21.59,7.32,3.03,384.78,90.14,229.22,26.68,38.36,9.32,835.08,17.43,False,0.0,0.0
2025-07-10 15:35:04,Zone_D,Sprinkler,54.74,22.13,6.14,1.39,192.31,48.04,299.35,27.83,83.22,2.41,950.77,20.36,False,0.0,0.0
2025-12-02 23:35:04,Zone_D,Sprinkler,74.97,30.19,5.84,2.29,299.44,41.1,56.93,22.51,33.33,11.25,566.64,10.72,False,0.0,0.0
2025-04-21 08:35:04,Zone_A,Drip,20.66,28.9,6.48,3.04,381.78,12.51,191.26,7.56,77.94,5.84,264.01,3.14,True,19.67,18.82
2025-10-28 05:35:04,Zone_B,Drip,42.78,19.8,6.44,1.95,388.41,14.21,150.14,41.5,41.88,2.56,627.18,17.46,True,8.61,7.56
2025-02-25 12:35:04,Zone_A,Sprinkler,39.85,25.69,7.54,3.79,193.14,99.82,164.61,35.64,40.96,8.24,558.97,14.02,True,10.07,9.45
2026-02-17 09:35:04,Zone_C,Drip,27.24,24.03,7.37,2.12,125.06,40.38,88.61,37.75,50.47,12.19,617.38,16.1,True,16.38,13.41
2025-04-08 02:35:04,Zone_C,Drip,63.49,28.03,7.35,0.61,183.92,39.27,56.34,32.78,35.14,2.73,892.69,21.19,False,0.0,0.0
2025-10-26 21:35:04,Zone_C,Drip,77.32,15.34,8.27,3.92,200.59,56.97,153.8,32.39,81.12,1.77,197.84,4.66,False,0.0,0.0
2025-09-21 13:35:04,Zone_A,Drip,41.92,19.95,7.26,3.31,292.2,76.47,227.16,12.73,34.88,10.6,728.33,10.44,True,9.04,10.09
2025-04-22 13:35:04,Zone_D,Sprinkler,75.87,27.57,8.38,2.97,300.57,89.58,136.26,20.44,41.51,2.87,954.89,17.14,False,0.0,0.0
2025-06-25 19:35:04,Zone_D,Sprinkler,14.23,36.69,7.45,3.33,144.36,31.06,298.23,19.47,79.54,1.43,496.24,8.68,True,22.88,22.44
2025-07-01 21:35:04,Zone_C,Drip,45.93,24.79,7.05,1.51,64.14,92.63,264.86,36.33,34.46,1.77,682.34,17.34,False,0.0,0.0
2025-07-03 04:35:04,Zone_A,Sprinkler,24.64,22.97,6.49,3.4,382.75,62.89,263.87,15.53,89.01,1.28,914.38,14.3,True,17.68,18.1
2025-07-05 14:35:04,Zone_A,Sprinkler,23.13,30.05,8.27,0.92,273.74,43.92,146.51,13.72,40.8,10.95,427.83,6.33,True,18.43,18.01
2025-04-26 15:35:04,Zone_B,Drip,24.52,12.82,6.08,1.59,186.91,16.93,65.56,45.69,89.55,13.14,633.84,18.89,True,17.74,15.93
2025-05-28 15:35:04,Zone_D,Center_Pivot,26.27,5.47,7.7,1.92,384.38,32.76,57.99,14.2,66.2,22.09,866.27,13.01,True,16.87,13.53
2025-08-04 14:35:04,Zone_D,Drip,50.26,34.29,6.26,1.35,160.85,32.15,56.58,22.35,67.69,4.74,866.61,16.33,False,0.0,0.0
